,cov,sleep
0,0.882495701313,0.68
1,0.901102244854,0.8
2,0.867934048176,0.75
3,0.882697939873,0.76
4,0.905652761459,0.74
5,0.8169683218,0.76
6,0.880169868469,0.75
7,0.92446154356,0.82
8,0.848316311836,0.76
9,0.839316427708,0.8
10,0.911922335625,0.73
11,0.79472142458,0.75
12,0.800687611103,0.77
13,0.931641221046,0.71
14,0.874102532864,0.75
15,0.888765275478,0.74
16,0.874810397625,0.76
17,0.939528763294,0.46
18,0.917888581753,0.75
19,0.935079395771,0.73
20,0.894731521606,0.81
21,0.87177670002,0.75
22,0.870158791542,0.66
23,0.931641221046,0.78
24,0.935382723808,0.75
25,0.870866596699,0.78
26,0.798058450222,0.78
27,0.876529455185,0.79
28,0.926989555359,0.73
29,0.876933991909,0.74
30,0.897360682487,0.83
31,0.896753966808,0.73
32,0.785215914249,0.7
33,0.921832323074,0.51
34,0.897967457771,0.74
35,0.803620159626,0.81
36,0.89857417345,0.48
37,0.885529398918,0.68
38,0.809990882874,0.72
39,0.90676510334,0.75
40,0.875417113304,0.72
41,0.895641624928,0.79
42,0.88107997179,0.72
43,0.822530090809,0.77
44,0.843664705753,0.69
45,0.843159079552,0.75
46,0.853170216084,0.78
47,0.863686919212,0.77
48,0.928809762001,0.71
49,0.867428481579,0.75
50,0.87157446146,0.81
51,0.891697824001,0.79
52,0.914248168468,0.74
53,0.923753678799,0.75
54,0.900798857212,0.81
55,0.921630084515,0.62
56,0.812316715717,0.78
57,0.853675782681,0.75
58,0.890585482121,0.75
59,0.932652413845,0.61
60,0.964303791523,0.77
61,0.931843459606,0.48
62,0.954292654991,0.62
63,0.911315619946,0.78
64,0.854585886002,0.79
65,0.958135306835,0.46
66,0.902315676212,0.73
67,0.819091916084,0.78
68,0.923955917358,0.57
69,0.859642028809,0.7
70,0.69370007515,0.79
71,0.833653569221,0.76
72,0.78956413269,0.76
73,0.928101956844,0.76
74,0.899888753891,0.66
75,0.89746183157,0.7
76,0.851552248001,0.76
77,0.869248688221,0.76
78,0.813631296158,0.69
79,0.853574693203,0.77
80,0.915461599827,0.74
81,0.90029323101,0.6
82,0.888461947441,0.77
83,0.87157446146,0.76
84,0.913540303707,0.77
85,0.871675610542,0.75
86,0.792698979378,0.74
87,0.897866308689,0.77
88,0.874810397625,0.79
89,0.795530378819,0.77
90,0.913338065147,0.78
91,0.904338181019,0.77
92,0.87976539135,0.76
93,0.859439790249,0.8
94,0.907574057579,0.75
95,0.90888863802,0.77
96,0.891900062561,0.7
97,0.802103340626,0.79
98,0.841844499111,0.73
99,0.908079683781,0.78
100,0.840428769588,0.76
101,0.907574057579,0.76
102,0.932955801487,0.77
103,0.875214874744,0.71
104,0.854889273643,0.76
105,0.933663666248,0.65
106,0.847001731396,0.81
107,0.857215106487,0.83
108,0.899282038212,0.74
109,0.91475379467,0.77
110,0.878653049469,0.8
111,0.88927090168,0.71
112,0.886945068836,0.74
113,0.903630316257,0.61
114,0.903225779533,0.77
115,0.899585425854,0.75
116,0.914248168468,0.75
117,0.9084841609,0.78
118,0.857012867928,0.78
119,0.886945068836,0.75
120,0.830923259258,0.81
121,0.835878252983,0.77
122,0.842552304268,0.78
123,0.826777219772,0.71
124,0.87996762991,0.77
125,0.842248976231,0.77
126,0.920214354992,0.75
127,0.880776643753,0.77
128,0.828698575497,0.8
129,0.719789683819,0.75
130,0.834968149662,0.73
131,0.843765795231,0.8
132,0.818181812763,0.82
133,0.918798685074,0.79
134,0.911618947983,0.76
135,0.848923027515,0.7
136,0.816159367561,0.75
137,0.828091800213,0.74
138,0.913338065147,0.78
139,0.857113957405,0.73
140,0.854080319405,0.76
141,0.859844267368,0.75
142,0.890686631203,0.82
143,0.879057526588,0.75
144,0.91667509079,0.74
145,0.944584906101,0.63
146,0.916978478432,0.71
147,0.891697824001,0.73
148,0.902821302414,0.76
149,0.868743062019,0.71
150,0.832642316818,0.82
151,0.851147711277,0.8
152,0.831226587296,0.81
153,0.899888753891,0.76
154,0.84285569191,0.79
155,0.881990075111,0.8
156,0.855698227882,0.79
157,0.89574277401,0.7
158,0.928607523441,0.78
159,0.853372454643,0.77
160,0.933764815331,0.49
161,0.907776296139,0.74
162,0.850743234158,0.77
163,0.874911546707,0.74
164,0.895034909248,0.79
165,0.906158328056,0.72
166,0.859642028809,0.81
167,0.915461599827,0.79
168,0.87804633379,0.63
169,0.88947314024,0.73
170,0.845282614231,0.79
171,0.911214470863,0.78
172,0.895135998726,0.81
173,0.923652529716,0.76
174,0.866922855377,0.77
175,0.87197893858,0.73
176,0.838406324387,0.79
177,0.928910911083,0.73
178,0.892810165882,0.74
179,0.929719865322,0.78
180,0.930933356285,0.72
181,0.834765911102,0.75
182,0.848720788956,0.78
183,0.892607927322,0.76
184,0.909394264221,0.8
185,0.812822341919,0.76
186,0.818080723286,0.79
187,0.941045582294,0.76
188,0.859237551689,0.78
189,0.896248340607,0.76
190,0.837698459625,0.72
191,0.888461947441,0.71
192,0.895540475845,0.77
193,0.888158559799,0.82
194,0.893619179726,0.74
195,0.97279804945,0.71
196,0.93588835001,0.61
197,0.866113841534,0.8
198,0.905956089497,0.78
199,0.946607351303,0.53
200,0.896248340607,0.76
201,0.882192313671,0.78
202,0.906057238579,0.59
203,0.936596214771,0.74
204,0.912933588028,0.65
205,0.918798685074,0.82
206,0.910405516624,0.71
207,0.893518030643,0.79
208,0.885832726955,0.77
209,0.815350413322,0.76
210,0.801395475864,0.77
211,0.879259765148,0.77
212,0.847507357597,0.77
213,0.95206797123,0.77
214,0.872990190983,0.75
215,0.907978534698,0.74
216,0.912023484707,0.77
217,0.899686515331,0.65
218,0.956315100193,0.79
219,0.858529686928,0.78
220,0.919809877872,0.76
221,0.815047025681,0.78
222,0.91495603323,0.79
223,0.949539899826,0.68
224,0.923045814037,0.74
225,0.847911834717,0.78
226,0.913843691349,0.79
227,0.857316195965,0.77
228,0.924764871597,0.74
229,0.939326524734,0.77
230,0.875417113304,0.74
231,0.896652817726,0.73
232,0.905855000019,0.78
233,0.939427673817,0.74
234,0.816260516644,0.72
235,0.859338641167,0.61
236,0.896956205368,0.75
237,0.882394552231,0.84
238,0.880271017551,0.71
239,0.901102244854,0.72
240,0.899787664413,0.73
241,0.879057526588,0.79
242,0.849428653717,0.72
243,0.860653221607,0.71
244,0.847406208515,0.6
245,0.802811205387,0.75
246,0.861361086369,0.78
247,0.909293174744,0.73
248,0.900596618652,0.55
249,0.850945472717,0.77
250,0.704419076443,0.8
251,0.856507241726,0.82
252,0.866922855377,0.73
253,0.894124805927,0.72
254,0.834968149662,0.81
255,0.923854768276,0.77
256,0.934068143368,0.76
257,0.731418728828,0.78
258,0.897158443928,0.76
259,0.82475477457,0.66
260,0.785519242287,0.8
261,0.869450926781,0.69
262,0.907877445221,0.78
263,0.90868639946,0.66
264,0.846394956112,0.81
265,0.880169868469,0.65
266,0.931034505367,0.82
267,0.76084536314,0.78
268,0.895945012569,0.72
269,0.885226011276,0.75
270,0.911113381386,0.79
271,0.888563036919,0.48
272,0.891798973083,0.81
273,0.844574809074,0.77
274,0.900394380093,0.72
275,0.897360682487,0.73
276,0.888057410717,0.74
277,0.714126825333,0.78
278,0.881383359432,0.8
279,0.852462351322,0.77
280,0.869956493378,0.66
281,0.834260284901,0.77
282,0.891293346882,0.7
283,0.900596618652,0.72
284,0.930933356285,0.76
285,0.865102648735,0.76
286,0.798564076424,0.77
287,0.888360798359,0.79
288,0.881181120872,0.79
289,0.839923143387,0.77
290,0.89705735445,0.68
291,0.895135998726,0.78
292,0.923349201679,0.73
293,0.892607927322,0.73
294,0.868136286736,0.77
295,0.930124402046,0.76
296,0.897866308689,0.7
297,0.921832323074,0.74
298,0.880473256111,0.74
299,0.851248860359,0.75
300,0.868945300579,0.67
301,0.830417633057,0.79
302,0.903529167175,0.74
303,0.907574057579,0.72
304,0.864293634892,0.72
305,0.818282961845,0.77
306,0.907978534698,0.63
307,0.819091916084,0.75
308,0.826069355011,0.7
309,0.856102764606,0.75
310,0.907270729542,0.83
311,0.875113785267,0.78
312,0.87197893858,0.54
313,0.934776008129,0.78
314,0.866417229176,0.75
315,0.869552016258,0.74
316,0.875316023827,0.62
317,0.887248456478,0.78
318,0.914450407028,0.79
319,0.883405804634,0.84
320,0.869956493378,0.78
321,0.901304483414,0.73
322,0.87784409523,0.78
323,0.855597138405,0.76
324,0.902113437653,0.61
325,0.890181005001,0.43
326,0.904135882854,0.67
327,0.880271017551,0.67
328,0.876529455185,0.8
329,0.845889389515,0.79
330,0.908585309982,0.77
331,0.88128221035,0.8
332,0.908989787102,0.62
333,0.84417027235,0.72
334,0.901708960533,0.63
335,0.7768227458,0.77
336,0.908787548542,0.71
337,0.872889041901,0.79
338,0.903124690056,0.75
339,0.857922971249,0.8
340,0.902821302414,0.77
341,0.923955917358,0.77
342,0.851552248001,0.76
343,0.91687732935,0.75
344,0.882697939873,0.68
345,0.894832670689,0.78
346,0.889169812202,0.71
347,0.917686343193,0.77
348,0.872787952423,0.75
349,0.894225895405,0.7
350,0.74962079525,0.77
351,0.925472736359,0.78
352,0.850338757038,0.75
353,0.884619295597,0.75
354,0.87197893858,0.81
355,0.887046217918,0.77
356,0.870866596699,0.78
357,0.890079915524,0.76
358,0.82364243269,0.73
359,0.897158443928,0.73
360,0.886742830276,0.76
361,0.884012520313,0.75
362,0.847305059433,0.8
363,0.904338181019,0.7
364,0.884619295597,0.74
365,0.820103168488,0.75
366,0.865203738213,0.72
367,0.907472968102,0.62
368,0.851248860359,0.74
369,0.878653049469,0.83
370,0.931641221046,0.8
371,0.785114765167,0.76
372,0.92618060112,0.73
373,0.908079683781,0.82
374,0.870563268661,0.71
375,0.807361721992,0.8
376,0.891798973083,0.8
377,0.919607639313,0.74
378,0.89877641201,0.73
379,0.840732097626,0.79
380,0.914349257946,0.75
381,0.880574405193,0.74
382,0.856102764606,0.74
383,0.819900870323,0.77
384,0.917484045029,0.77
385,0.882799088955,0.7
386,0.896450579166,0.78
387,0.90029323101,0.77
388,0.874001443386,0.75
389,0.892709076405,0.77
390,0.900798857212,0.79
391,0.917686343193,0.75
392,0.821215510368,0.77
393,0.898877561092,0.82
394,0.931236743927,0.71
395,0.848821938038,0.79
396,0.851956725121,0.74
397,0.769845306873,0.76
398,0.864799261093,0.73
399,0.872889041901,0.79
400,0.962888062,0.53
401,0.817069470882,0.78
402,0.860046505928,0.79
403,0.919506549835,0.73
404,0.922843575478,0.74
405,0.912225723267,0.78
406,0.825664877892,0.78
407,0.829204142094,0.77
408,0.915259361267,0.75
409,0.890079915524,0.78
410,0.865507125854,0.75
411,0.868844151497,0.78
412,0.912832438946,0.75
413,0.944888234138,0.75
414,0.876428365707,0.74
415,0.940135478973,0.77
416,0.85084438324,0.74
417,0.879259765148,0.64
418,0.888866424561,0.76
419,0.90828192234,0.63
420,0.864495933056,0.74
421,0.913742542267,0.76
422,0.91667509079,0.77
423,0.822530090809,0.8
424,0.863282442093,0.78
425,0.867731809616,0.77
426,0.915967226028,0.75
427,0.93720293045,0.64
428,0.828597426414,0.75
429,0.89877641201,0.78
430,0.893315792084,0.74
431,0.785418152809,0.76
432,0.909394264221,0.76
433,0.866821706295,0.75
434,0.928607523441,0.75
435,0.884922623634,0.76
436,0.830114245415,0.76
437,0.901708960533,0.6
438,0.865406036377,0.76
439,0.853473544121,0.6
440,0.909798741341,0.77
441,0.795732617378,0.75
442,0.794418036938,0.74
443,0.876529455185,0.79
444,0.859540879726,0.78
445,0.837597310543,0.79
446,0.960562229156,0.67
447,0.855495989323,0.78
448,0.866417229176,0.67
449,0.942461311817,0.72
450,0.898877561092,0.8
451,0.857619583607,0.75
452,0.907270729542,0.72
453,0.846293866634,0.78
454,0.880675494671,0.74
455,0.836586117744,0.8
456,0.857215106487,0.8
457,0.901001095772,0.77
458,0.889372050762,0.66
459,0.955506145954,0.74
460,0.887147307396,0.74
461,0.858731925488,0.76
462,0.910203278065,0.78
463,0.893518030643,0.74
464,0.927495181561,0.72
465,0.839518666267,0.75
466,0.874405920506,0.77
467,0.845687150955,0.79
468,0.863484680653,0.73
469,0.901405572891,0.75
470,0.916776239872,0.79
471,0.897664070129,0.69
472,0.92618060112,0.53
473,0.866720616817,0.76
474,0.907776296139,0.74
475,0.861158847809,0.6
476,0.930832266808,0.68
477,0.834058046341,0.82
478,0.870462119579,0.72
479,0.92789965868,0.77
480,0.870866596699,0.83
481,0.835170388222,0.73
482,0.875316023827,0.78
483,0.879158675671,0.78
484,0.90676510334,0.76
485,0.897866308689,0.74
486,0.86055213213,0.76
487,0.84265345335,0.78
488,0.89705735445,0.73
489,0.871169984341,0.73
490,0.832136690617,0.72
491,0.892506837845,0.75
492,0.911922335625,0.76
493,0.859844267368,0.76
494,0.880068778992,0.73
495,0.814642548561,0.77
496,0.887855172157,0.77
497,0.841439962387,0.77
498,0.918495297432,0.76
499,0.944989383221,0.77
500,0.91798967123,0.76
501,0.947315216064,0.67
502,0.912529051304,0.79
503,0.859439790249,0.8
504,0.856406092644,0.75
505,0.868945300579,0.82
506,0.899282038212,0.72
507,0.872282326221,0.77
508,0.865102648735,0.78
509,0.903225779533,0.77
510,0.86186671257,0.77
511,0.930023252964,0.77
512,0.92597836256,0.72
513,0.857316195965,0.64
514,0.878349661827,0.73
515,0.881585597992,0.76
516,0.939528763294,0.67
517,0.868237435818,0.73
518,0.929416537285,0.72
519,0.848417460918,0.79
520,0.858327448368,0.79
521,0.891900062561,0.8
522,0.83446252346,0.78
523,0.890585482121,0.78
524,0.883911430836,0.78
525,0.899079799652,0.76
526,0.923146903515,0.66
527,0.859237551689,0.76
528,0.850237667561,0.76
529,0.863889157772,0.72
530,0.944685995579,0.71
531,0.880776643753,0.71
532,0.846496105194,0.75
533,0.910809993744,0.81
534,0.865608274937,0.8
535,0.926483988762,0.8
536,0.878956437111,0.78
537,0.847102820873,0.74
538,0.91798967123,0.7
539,0.908787548542,0.69
540,0.923248052597,0.75
541,0.875113785267,0.75
542,0.929315388203,0.77
543,0.850540995598,0.79
544,0.896248340607,0.77
545,0.886540591717,0.76
546,0.844069182873,0.71
547,0.864495933056,0.8
548,0.923652529716,0.78
549,0.951764583588,0.5
550,0.845181524754,0.72
551,0.921326696873,0.78
552,0.913135826588,0.64
553,0.832642316818,0.78
554,0.789058566093,0.77
555,0.866821706295,0.72
556,0.890888869762,0.6
557,0.928000807762,0.67
558,0.873091340065,0.73
559,0.836181640625,0.79
560,0.881585597992,0.69
561,0.909495413303,0.74
562,0.907270729542,0.74
563,0.89098995924,0.75
564,0.910506606102,0.7
565,0.941652357578,0.71
566,0.875316023827,0.76
567,0.872990190983,0.66
568,0.836990594864,0.72
569,0.836889445782,0.79
570,0.901304483414,0.59
571,0.947820782661,0.44
572,0.966528475285,0.46
573,0.893518030643,0.74
574,0.878754198551,0.79
575,0.896349489689,0.78
576,0.893518030643,0.76
577,0.892405688763,0.72
578,0.778946280479,0.73
579,0.84265345335,0.78
580,0.881383359432,0.76
581,0.929315388203,0.77
582,0.90828192234,0.79
583,0.840327620506,0.73
584,0.886136114597,0.79
585,0.820912122726,0.77
586,0.889877617359,0.74
587,0.875821590424,0.76
588,0.850136518478,0.76
589,0.879866540432,0.71
590,0.84437251091,0.78
591,0.891900062561,0.72
592,0.851147711277,0.76
593,0.853675782681,0.72
594,0.862877964973,0.76
595,0.888360798359,0.77
596,0.888057410717,0.73
597,0.94236022234,0.73
598,0.862877964973,0.75
599,0.896147251129,0.75
600,0.830316483974,0.81
601,0.848619699478,0.77
602,0.862979054451,0.73
603,0.86965316534,0.83
604,0.933158040047,0.54
605,0.900394380093,0.46
606,0.887956321239,0.78
607,0.880574405193,0.8
608,0.921023368835,0.82
609,0.838507413864,0.78
610,0.894630372524,0.74
611,0.837597310543,0.79
612,0.930427730083,0.8
613,0.833855807781,0.79
614,0.845484852791,0.74
615,0.934472620487,0.46
616,0.926989555359,0.63
617,0.922843575478,0.66
618,0.795934855938,0.77
619,0.87025988102,0.77
620,0.87824857235,0.66
621,0.891394495964,0.72
622,0.8713722229,0.77
623,0.8698554039,0.76
624,0.822530090809,0.81
625,0.88107997179,0.78
626,0.927292943001,0.76
627,0.856203854084,0.75
628,0.844574809074,0.76
629,0.915967226028,0.77
630,0.915461599827,0.46
631,0.920416653156,0.73
632,0.960865616798,0.49
633,0.940843343735,0.8
634,0.910911142826,0.65
635,0.943978130817,0.49
636,0.865102648735,0.8
637,0.892102360725,0.78
638,0.891495585442,0.65
639,0.90524828434,0.72
640,0.82344019413,0.76
641,0.863889157772,0.76
642,0.895034909248,0.8
643,0.899079799652,0.8
644,0.893113553524,0.7
645,0.783092319965,0.69
646,0.865810513496,0.73
647,0.872585713863,0.8
648,0.848619699478,0.76
649,0.892203450203,0.75
650,0.884821534157,0.82
651,0.897664070129,0.71
652,0.858327448368,0.75
653,0.910304367542,0.74
654,0.908787548542,0.8
655,0.912731289864,0.79
656,0.837698459625,0.75
657,0.826676130295,0.8
658,0.880675494671,0.69
659,0.883506953716,0.73
660,0.845788240433,0.77
661,0.907877445221,0.68
662,0.937910795212,0.76
663,0.866821706295,0.77
664,0.847203969955,0.8
665,0.82475477457,0.78
666,0.896956205368,0.6
667,0.784103572369,0.8
668,0.889675378799,0.78
669,0.876731693745,0.75
670,0.917079567909,0.77
671,0.902416825294,0.63
672,0.958034157753,0.74
673,0.850035369396,0.79
674,0.893416941166,0.76
675,0.891091108322,0.72
676,0.820507645607,0.8
677,0.906158328056,0.57
678,0.817777335644,0.75
679,0.819496393204,0.75
680,0.876124978065,0.79
681,0.785215914249,0.78
682,0.869450926781,0.78
683,0.897967457771,0.78
684,0.779047429562,0.79
685,0.901911199093,0.67
686,0.902720212936,0.77
687,0.869754254818,0.81
688,0.874102532864,0.82
689,0.785721480846,0.79
690,0.853372454643,0.78
691,0.858327448368,0.72
692,0.835676014423,0.83
693,0.903225779533,0.74
694,0.911315619946,0.7
695,0.846597254276,0.77
696,0.835777103901,0.83
697,0.922944664955,0.74
698,0.862170100212,0.73
699,0.842046737671,0.73
