,cov,sleep
0,1.0,0.23
1,1.0,0.203333333333
2,1.0,0.213333333333
3,1.0,0.186666666667
4,1.0,0.213333333333
5,1.0,0.213333333333
6,1.0,0.24
7,1.0,0.193333333333
8,1.0,0.196666666667
9,1.0,0.2
10,1.0,0.223333333333
11,1.0,0.206666666667
12,1.0,0.176666666667
13,1.0,0.21
14,1.0,0.22
15,1.0,0.186666666667
16,1.0,0.203333333333
17,1.0,0.193333333333
18,1.0,0.206666666667
19,1.0,0.21
20,1.0,0.19
21,1.0,0.216666666667
22,1.0,0.216666666667
23,1.0,0.196666666667
24,1.0,0.196666666667
25,1.0,0.216666666667
26,1.0,0.216666666667
27,1.0,0.22
28,1.0,0.226666666667
29,1.0,0.17
30,1.0,0.216666666667
31,1.0,0.193333333333
32,1.0,0.193333333333
33,1.0,0.206666666667
34,1.0,0.203333333333
35,1.0,0.206666666667
36,1.0,0.183333333333
37,1.0,0.206666666667
38,1.0,0.21
39,1.0,0.196666666667
40,1.0,0.206666666667
41,1.0,0.213333333333
42,1.0,0.193333333333
43,1.0,0.213333333333
44,1.0,0.226666666667
45,1.0,0.216666666667
46,1.0,0.203333333333
47,1.0,0.25
48,1.0,0.196666666667
49,1.0,0.196666666667
50,1.0,0.213333333333
51,1.0,0.2
52,1.0,0.22
53,1.0,0.216666666667
54,1.0,0.19
55,1.0,0.19
56,1.0,0.196666666667
57,1.0,0.21
58,1.0,0.223333333333
59,1.0,0.196666666667
60,1.0,0.193333333333
61,1.0,0.226666666667
62,1.0,0.2
63,1.0,0.193333333333
64,1.0,0.21
65,1.0,0.203333333333
66,1.0,0.203333333333
67,1.0,0.203333333333
68,1.0,0.22
69,1.0,0.22
70,1.0,0.236666666667
71,1.0,0.18
72,1.0,0.19
73,1.0,0.22
74,1.0,0.193333333333
75,1.0,0.203333333333
76,1.0,0.2
77,1.0,0.196666666667
78,1.0,0.196666666667
79,1.0,0.25
80,1.0,0.193333333333
81,1.0,0.206666666667
82,1.0,0.22
83,1.0,0.21
84,1.0,0.203333333333
85,1.0,0.196666666667
86,1.0,0.22
87,1.0,0.183333333333
88,1.0,0.21
89,1.0,0.22
90,1.0,0.22
91,1.0,0.186666666667
92,1.0,0.203333333333
93,1.0,0.176666666667
94,1.0,0.19
95,1.0,0.216666666667
96,1.0,0.21
97,1.0,0.18
98,1.0,0.193333333333
99,1.0,0.2
100,1.0,0.196666666667
101,1.0,0.203333333333
102,1.0,0.223333333333
103,1.0,0.213333333333
104,1.0,0.21
105,1.0,0.186666666667
106,1.0,0.193333333333
107,1.0,0.193333333333
108,1.0,0.206666666667
109,1.0,0.196666666667
110,1.0,0.203333333333
111,1.0,0.2
112,1.0,0.193333333333
113,1.0,0.206666666667
114,1.0,0.22
115,1.0,0.226666666667
116,1.0,0.206666666667
117,1.0,0.196666666667
118,1.0,0.226666666667
119,1.0,0.233333333333
120,1.0,0.213333333333
121,1.0,0.196666666667
122,1.0,0.18
123,1.0,0.216666666667
124,1.0,0.223333333333
125,1.0,0.223333333333
126,1.0,0.183333333333
127,1.0,0.19
128,1.0,0.183333333333
129,1.0,0.233333333333
130,1.0,0.21
131,1.0,0.2
132,1.0,0.216666666667
133,1.0,0.226666666667
134,1.0,0.23
135,1.0,0.223333333333
136,1.0,0.183333333333
137,1.0,0.236666666667
138,1.0,0.22
139,1.0,0.196666666667
140,1.0,0.196666666667
141,1.0,0.22
142,1.0,0.216666666667
143,1.0,0.21
144,1.0,0.203333333333
145,1.0,0.213333333333
146,1.0,0.166666666667
147,1.0,0.203333333333
148,1.0,0.203333333333
149,1.0,0.21
150,1.0,0.21
151,1.0,0.226666666667
152,1.0,0.223333333333
153,1.0,0.25
154,1.0,0.206666666667
155,1.0,0.193333333333
156,1.0,0.196666666667
157,1.0,0.19
158,1.0,0.19
159,1.0,0.2
160,1.0,0.23
161,1.0,0.19
162,1.0,0.213333333333
163,1.0,0.2
164,1.0,0.196666666667
165,1.0,0.22
166,1.0,0.196666666667
167,1.0,0.21
168,1.0,0.206666666667
169,1.0,0.216666666667
170,1.0,0.193333333333
171,1.0,0.196666666667
172,1.0,0.206666666667
173,1.0,0.19
174,1.0,0.206666666667
175,1.0,0.22
176,1.0,0.193333333333
177,1.0,0.203333333333
178,1.0,0.19
179,1.0,0.216666666667
180,1.0,0.19
181,1.0,0.19
182,1.0,0.196666666667
183,1.0,0.216666666667
184,1.0,0.196666666667
185,1.0,0.236666666667
186,1.0,0.206666666667
187,1.0,0.206666666667
188,1.0,0.193333333333
189,1.0,0.233333333333
190,1.0,0.2
191,1.0,0.206666666667
192,1.0,0.206666666667
193,1.0,0.193333333333
194,1.0,0.21
195,1.0,0.18
196,1.0,0.23
197,1.0,0.193333333333
198,1.0,0.196666666667
199,1.0,0.223333333333
200,1.0,0.66
201,1.0,0.68
202,1.0,0.653333333333
203,1.0,0.643333333333
204,1.0,0.656666666667
205,1.0,0.66
206,1.0,0.7
207,1.0,0.683333333333
208,1.0,0.67
209,1.0,0.673333333333
210,1.0,0.693333333333
211,1.0,0.706666666667
212,1.0,0.666666666667
213,1.0,0.686666666667
214,1.0,0.64
215,1.0,0.69
216,1.0,0.65
217,1.0,0.646666666667
218,1.0,0.64
219,1.0,0.676666666667
220,1.0,0.68
221,1.0,0.656666666667
222,1.0,0.69
223,1.0,0.656666666667
224,1.0,0.67
225,1.0,0.673333333333
226,1.0,0.653333333333
227,1.0,0.666666666667
228,1.0,0.653333333333
229,1.0,0.666666666667
230,1.0,0.666666666667
231,1.0,0.67
232,1.0,0.663333333333
233,1.0,0.656666666667
234,1.0,0.656666666667
235,1.0,0.663333333333
236,1.0,0.66
237,1.0,0.683333333333
238,1.0,0.66
239,1.0,0.65
240,1.0,0.653333333333
241,1.0,0.67
242,1.0,0.663333333333
243,1.0,0.68
244,1.0,0.656666666667
245,1.0,0.686666666667
246,1.0,0.656666666667
247,1.0,0.66
248,1.0,0.663333333333
249,1.0,0.686666666667
250,1.0,0.673333333333
251,1.0,0.683333333333
252,1.0,0.68
253,1.0,0.65
254,1.0,0.666666666667
255,1.0,0.666666666667
256,1.0,0.656666666667
257,1.0,0.67
258,1.0,0.656666666667
259,1.0,0.67
260,1.0,0.653333333333
261,1.0,0.646666666667
262,1.0,0.663333333333
263,1.0,0.626666666667
264,1.0,0.65
265,1.0,0.65
266,1.0,0.676666666667
267,1.0,0.673333333333
268,1.0,0.683333333333
269,1.0,0.683333333333
270,1.0,0.653333333333
271,1.0,0.666666666667
272,1.0,0.676666666667
273,1.0,0.646666666667
274,1.0,0.656666666667
275,1.0,0.676666666667
276,1.0,0.66
277,1.0,0.676666666667
278,1.0,0.676666666667
279,1.0,0.67
280,1.0,0.68
281,1.0,0.68
282,1.0,0.656666666667
283,1.0,0.67
284,1.0,0.67
285,1.0,0.643333333333
286,1.0,0.64
287,1.0,0.68
288,1.0,0.663333333333
289,1.0,0.716666666667
290,1.0,0.653333333333
291,1.0,0.656666666667
292,1.0,0.65
293,1.0,0.66
294,1.0,0.67
295,1.0,0.656666666667
296,1.0,0.64
297,1.0,0.67
298,1.0,0.66
299,1.0,0.68
300,1.0,0.646666666667
301,1.0,0.68
302,1.0,0.663333333333
303,1.0,0.656666666667
304,1.0,0.67
305,1.0,0.653333333333
306,1.0,0.663333333333
307,1.0,0.67
308,1.0,0.673333333333
309,1.0,0.696666666667
310,1.0,0.646666666667
311,1.0,0.666666666667
312,1.0,0.673333333333
313,1.0,0.653333333333
314,1.0,0.646666666667
315,1.0,0.646666666667
316,1.0,0.703333333333
317,1.0,0.67
318,1.0,0.68
319,1.0,0.673333333333
320,1.0,0.68
321,1.0,0.686666666667
322,1.0,0.693333333333
323,1.0,0.643333333333
324,1.0,0.653333333333
325,1.0,0.676666666667
326,1.0,0.643333333333
327,1.0,0.67
328,1.0,0.68
329,1.0,0.66
330,1.0,0.676666666667
331,1.0,0.653333333333
332,1.0,0.673333333333
333,1.0,0.656666666667
334,1.0,0.653333333333
335,1.0,0.66
336,1.0,0.673333333333
337,1.0,0.67
338,1.0,0.64
339,1.0,0.646666666667
340,1.0,0.656666666667
341,1.0,0.673333333333
342,1.0,0.673333333333
343,1.0,0.653333333333
344,1.0,0.656666666667
345,1.0,0.673333333333
346,1.0,0.676666666667
347,1.0,0.66
348,1.0,0.67
349,1.0,0.656666666667
350,1.0,0.666666666667
351,1.0,0.66
352,1.0,0.68
353,1.0,0.663333333333
354,1.0,0.67
355,1.0,0.663333333333
356,1.0,0.66
357,1.0,0.646666666667
358,1.0,0.65
359,1.0,0.646666666667
360,1.0,0.663333333333
361,1.0,0.683333333333
362,1.0,0.663333333333
363,1.0,0.66
364,1.0,0.643333333333
365,1.0,0.666666666667
366,1.0,0.683333333333
367,1.0,0.666666666667
368,1.0,0.68
369,1.0,0.67
370,1.0,0.673333333333
371,1.0,0.693333333333
372,1.0,0.67
373,1.0,0.67
374,1.0,0.673333333333
375,1.0,0.67
376,1.0,0.696666666667
377,1.0,0.676666666667
378,1.0,0.67
379,1.0,0.673333333333
380,1.0,0.666666666667
381,1.0,0.703333333333
382,1.0,0.7
383,1.0,0.68
384,1.0,0.666666666667
385,1.0,0.646666666667
386,1.0,0.69
387,1.0,0.686666666667
388,1.0,0.643333333333
389,1.0,0.663333333333
390,1.0,0.686666666667
391,1.0,0.65
392,1.0,0.66
393,1.0,0.67
394,1.0,0.663333333333
395,1.0,0.663333333333
396,1.0,0.68
397,1.0,0.656666666667
398,1.0,0.66
399,1.0,0.66
400,1.0,0.546666666667
401,1.0,0.556666666667
402,1.0,0.56
403,1.0,0.553333333333
404,1.0,0.56
405,1.0,0.54
406,1.0,0.55
407,1.0,0.523333333333
408,1.0,0.52
409,1.0,0.543333333333
410,1.0,0.573333333333
411,1.0,0.53
412,1.0,0.543333333333
413,1.0,0.556666666667
414,1.0,0.553333333333
415,1.0,0.56
416,1.0,0.54
417,1.0,0.573333333333
418,1.0,0.56
419,1.0,0.526666666667
420,1.0,0.543333333333
421,1.0,0.556666666667
422,1.0,0.58
423,1.0,0.543333333333
424,1.0,0.556666666667
425,1.0,0.53
426,1.0,0.593333333333
427,1.0,0.573333333333
428,1.0,0.563333333333
429,1.0,0.55
430,1.0,0.56
431,1.0,0.566666666667
432,1.0,0.556666666667
433,1.0,0.546666666667
434,1.0,0.566666666667
435,1.0,0.54
436,1.0,0.52
437,1.0,0.553333333333
438,1.0,0.553333333333
439,1.0,0.55
440,1.0,0.556666666667
441,1.0,0.556666666667
442,1.0,0.556666666667
443,1.0,0.536666666667
444,1.0,0.533333333333
445,1.0,0.56
446,1.0,0.533333333333
447,1.0,0.573333333333
448,1.0,0.563333333333
449,1.0,0.556666666667
450,1.0,0.57
451,1.0,0.53
452,1.0,0.55
453,1.0,0.553333333333
454,1.0,0.566666666667
455,1.0,0.55
456,1.0,0.576666666667
457,1.0,0.543333333333
458,1.0,0.556666666667
459,1.0,0.56
460,1.0,0.566666666667
461,1.0,0.563333333333
462,1.0,0.54
463,1.0,0.55
464,1.0,0.546666666667
465,1.0,0.543333333333
466,1.0,0.55
467,1.0,0.546666666667
468,1.0,0.553333333333
469,1.0,0.573333333333
470,1.0,0.54
471,1.0,0.566666666667
472,1.0,0.536666666667
473,1.0,0.553333333333
474,1.0,0.536666666667
475,1.0,0.563333333333
476,1.0,0.54
477,1.0,0.543333333333
478,1.0,0.576666666667
479,1.0,0.56
480,1.0,0.53
481,1.0,0.566666666667
482,1.0,0.546666666667
483,1.0,0.56
484,1.0,0.576666666667
485,1.0,0.566666666667
486,1.0,0.566666666667
487,1.0,0.56
488,1.0,0.566666666667
489,1.0,0.563333333333
490,1.0,0.54
491,1.0,0.57
492,1.0,0.57
493,1.0,0.546666666667
494,1.0,0.543333333333
495,1.0,0.54
496,1.0,0.536666666667
497,1.0,0.543333333333
498,1.0,0.556666666667
499,1.0,0.563333333333
500,1.0,0.546666666667
501,1.0,0.543333333333
502,1.0,0.556666666667
503,1.0,0.54
504,1.0,0.553333333333
505,1.0,0.576666666667
506,1.0,0.55
507,1.0,0.53
508,1.0,0.556666666667
509,1.0,0.563333333333
510,1.0,0.523333333333
511,1.0,0.53
512,1.0,0.55
513,1.0,0.543333333333
514,1.0,0.576666666667
515,1.0,0.54
516,1.0,0.553333333333
517,1.0,0.54
