,30per_depletion,coverage (mean),coverage (stdev),final_fitness (mean),final_fitness (stdev),first_depletion,initial_fitness (mean),initial_fitness (stdev),nb_sleeping (mean),nb_sleeping (stdev),overlapping (mean),overlapping (stdev),scenario_name,term1_final (mean),term1_final (stdev),term1_initial (mean),term1_initial (stdev),term2_final (mean),term2_final (stdev),term2_initial (mean),term2_initial (stdev)
0,1621,,,,,975,,,,,,,LEACH,,,,,,,,
1,3473,0.876881441677,0.0422009945155,0.766217437283,0.0220089285041,3278,0.591457613373,0.0257362380216,0.345957890886,0.0425750249031,0.242194982167,0.0737280935743,FCM + ModifiedPso,0.750431907559,0.0505464826963,0.610175089496,0.0613281996933,0.782002966436,0.0436606354037,0.572740137014,0.0582233164154
2,3076,0.90783970734,0.0339573145189,0.70900274779,0.0236201678788,2826,0.59069556078,0.0254747733777,0.279484948908,0.0372065025101,0.455563496877,0.0730640239899,FCM + Pso,0.664255358777,0.0540727704019,0.62059386645,0.0667655228222,0.753750136803,0.0321800324178,0.560797255492,0.0610944973133
3,1823,,,,,375,,,,,,,DC,,,,,,,,
4,2413,,,,,1689,,,,,,,FCM,,,,,,,,
5,309,,,,,61,,,,,,,MTE,,,,,,,,
