,30per_depletion,coverage (mean),coverage (stdev),final_fitness (mean),final_fitness (stdev),first_depletion,initial_fitness (mean),initial_fitness (stdev),nb_sleeping (mean),nb_sleeping (stdev),overlapping (mean),overlapping (stdev),scenario_name,term1_final (mean),term1_final (stdev),term1_initial (mean),term1_initial (stdev),term2_final (mean),term2_final (stdev),term2_initial (mean),term2_initial (stdev)
0,3568,0.922245009767,0.0792686313476,0.902253117206,0.0760630890055,1620,0.665010513601,0.0744501456555,0.426587999047,0.048075885069,0.0599524159213,0.0578833633854,FCM + Pso (5),0.167839811193,0.132804323087,0.454379585883,0.0819732669921,0.902253117206,0.0760630890055,0.665010513601,0.0744501456555
1,2916,-6.58723872942e+11,3.51909010939e+13,0.7810723563,0.0351216403598,2833,0.644751687204,0.0396576236306,0.175011955091,0.0411927471365,0.748289911039,0.0994575013304,FCM + Pso (4),0.7810723563,0.0351216403598,0.644751687204,0.0396576236306,-6.58561401325e+11,3.51822213984e+13,-6.58561401325e+11,3.51822213984e+13
2,3415,0.809757720688,0.0713443680298,0.976796939806,0.0186191593651,3388,0.689905879216,0.0453098914381,0.306572557197,0.0389580347633,0.624317684233,0.0950395407999,FCM + Ecca (4),0.976796939806,0.0186191593651,0.689905879216,0.0453098914381,0.559397315714,0.0692086031143,0.496219531523,0.0835629782857
3,3423,0.875993261659,0.0441574856342,0.821816045236,0.0338469997041,3402,0.645970751248,0.0373974678426,0.279063855917,0.0392021728108,0.529482881142,0.0801504148166,FCM + Pso (2),0.878627138143,0.0456900327826,0.691393286242,0.0528961706993,0.651382763639,0.0479497319312,0.509703145799,0.0729559176885
4,3929,0.894319431123,0.0351202515071,0.836553482662,0.0276105585753,1561,0.618119609934,0.047974498275,0.55404572353,0.199060903383,0.131910356023,0.0651265279957,FCM + Ecca (5),0.198051239751,0.0634943200719,0.418764799189,0.0881020371517,0.836553482662,0.0276105585753,0.618119609934,0.047974498275
5,3270,0.904950840562,0.0360702114186,0.731513377165,0.0261332559502,3160,0.593941922314,0.0276527455701,0.296221703949,0.0381666756657,0.40711253845,0.0720919023776,FCM + Pso,0.730816613216,0.0571919592667,0.633531617658,0.0700735269143,0.732210142666,0.0363492998218,0.554352226953,0.0646153630858
6,3542,0.899831699448,0.0459192619972,0.743806541058,0.0212200442622,3460,0.584053625053,0.0248671220589,0.335499944556,0.0489319414543,0.219859046507,0.0728304419241,FCMMPSO,0.677248976538,0.0568505841934,0.594679371918,0.0732144068435,0.810364106178,0.049551002013,0.573427876719,0.0721084311346
7,3610,-2.38677922511e+33,1.47575545774e+35,0.916010361648,0.0244229124474,3578,0.65914087423,0.0425933468547,0.371241492975,0.0506715532535,0.498052956022,0.0905533722324,FCMMPSO (4),0.916010361648,0.0244229124474,0.65914087423,0.0425933468547,-2.38670762142e+33,1.47571118488e+35,-2.38670762142e+33,1.47571118488e+35
8,3644,0.831169003126,0.0546611635877,0.86511566446,0.0212305685754,3586,0.653566581133,0.0385265256098,0.332041598113,0.0511443077227,0.470448755036,0.0967680082086,FCM + Ecca (2),0.942954276848,0.0272776324213,0.697003101599,0.0530081929147,0.631599829022,0.0584061900416,0.52325701936,0.0727494905972
9,3679,0.942576005764,0.0404460410277,0.764081606874,0.0197077462773,2393,0.588200014461,0.0300259869261,0.363098923961,0.0519936954068,0.0965560226859,0.0388651431621,FCMMPSO (3),0.348063595561,0.0972647466537,0.49082004484,0.0842294063845,0.902754276279,0.0387487839515,0.620660003861,0.0496327985183
10,3612,0.860184390421,0.0462563112072,0.700635800997,0.0222786227877,3360,0.575907216024,0.0263623380458,0.376680249408,0.0621481389263,0.215809557486,0.0638111140675,FCM + Ecca (3),0.470494578669,0.101333590653,0.487294265382,0.098880068079,0.77734954242,0.0421904048667,0.605444866824,0.0493324197581
11,3421,0.917086114592,0.0906507944938,0.701170034928,0.0232793592812,1751,0.592470170193,0.0483884511404,0.455893604066,0.0541736977233,0.123366353111,0.0574695415494,FCM + Pso (3),0.218228258631,0.193134516589,0.503432631413,0.0959045339733,0.862150630552,0.0773867060535,0.622149349155,0.0634350597421
12,3608,0.81629410013,0.0469773968697,0.852971874317,0.0220801362221,3552,0.634453555936,0.0349784651031,0.342574062288,0.049946631078,0.422436900151,0.087369009818,FCMMPSO (2),0.921833882075,0.0291095629462,0.670849173819,0.0483689796877,0.646385849749,0.0485685308245,0.525266698014,0.0620512359337
13,3675,0.868435149942,0.049626954017,0.778946884721,0.0215965552922,3607,0.590945949586,0.0256440174478,0.370297625473,0.0513705207768,0.19460950195,0.0719609185052,FCM + Ecca,0.766283894142,0.0520669986249,0.594439682449,0.0595612102473,0.791609873941,0.0539515762915,0.587452217152,0.0609574699642
14,3688,0.8926165731,0.0220176257911,0.852857347897,0.0119329318486,1656,0.634709819218,0.0477539791228,0.446392139274,0.0336435581106,0.0925163141884,0.0534081310743,FCMMPSO (5),0.126068243519,0.133452862334,0.442564447964,0.0996020064219,0.852857347897,0.0119329318486,0.634709819218,0.0477539791228
