,coverage,nb_alive,nb_sleeping,overlapping
0,0.550054192543,67,31,0.295765131712
1,0.610582947731,67,27,0.3547488451
2,0.71619617939,67,18,0.839708566666
3,0.714403569698,67,18,0.805542588234
4,0.82008177042,67,11,1.0
5,0.766582727432,67,15,0.830446302891
6,0.773200392723,67,15,0.79580193758
7,0.776671469212,67,15,0.685158371925
8,0.766582667828,67,16,0.685158371925
9,0.732037007809,67,19,0.543943405151
10,0.739741027355,67,17,0.830446302891
11,0.756631672382,67,16,0.685158371925
12,0.700168907642,67,21,0.500036776066
13,0.641736507416,67,24,0.626248240471
14,0.651744604111,67,24,0.305579394102
15,0.636025726795,67,25,0.286502927542
16,0.627984642982,67,27,0.204198047519
17,0.610387802124,67,28,0.286502927542
18,0.603878200054,67,27,0.271499365568
19,0.567505061626,67,29,0.286502927542
20,0.641944169998,67,23,0.635988891125
21,0.599864959717,67,26,0.635988891125
22,0.584079086781,67,29,0.204198047519
23,0.607443213463,67,26,0.50977742672
24,0.632988274097,67,26,0.126211449504
25,0.57606369257,67,27,0.635988891125
26,0.532003998756,67,30,0.50977742672
27,0.591138839722,67,26,0.601344525814
28,0.6004332304,67,26,0.490700960159
29,0.591169178486,67,26,0.601344525814
30,0.657177567482,67,23,0.44105309248
31,0.622509360313,67,25,0.490700960159
32,0.622669398785,67,25,0.490222543478
33,0.656143844128,67,23,0.349485963583
34,0.67386752367,67,22,0.349485963583
35,0.698479890823,67,20,0.543943405151
36,0.7492223382,67,18,0.339745312929
37,0.709459245205,67,21,0.349485963583
38,0.789176166058,67,15,0.543943405151
39,0.712093174458,67,20,0.543943405151
40,0.742363989353,67,18,0.543943405151
41,0.712053954601,67,20,0.543943405151
42,0.735418021679,67,19,0.543943405151
43,0.662614226341,67,23,0.543943405151
44,0.579756557941,67,29,0.398655414581
45,0.682769834995,67,23,0.339745312929
46,0.680554866791,67,24,0.0
47,0.724446833134,67,21,0.194457381964
48,0.696600317955,67,23,0.194457381964
49,0.624040722847,67,27,0.194457381964
50,0.665398538113,67,24,0.3547488451
51,0.61404633522,67,27,0.160291478038
52,0.688048124313,67,23,0.194457381964
53,0.67159897089,67,24,0.194457381964
54,0.616563737392,67,27,0.160291478038
55,0.606942653656,67,26,0.55894690752
56,0.606986641884,67,28,0.194457381964
57,0.613357424736,67,26,0.52430254221
58,0.617426097393,67,25,0.650514006615
59,0.651325166225,67,24,0.44105309248
60,0.56843984127,67,28,0.79580193758
61,0.618378698826,67,24,0.79580193758
62,0.536028087139,67,29,0.79580193758
63,0.553913712502,67,30,0.480960309505
64,0.655453324318,67,23,0.480960309505
