,30per_depletion,coverage (mean),coverage (stdev),final_fitness (mean),final_fitness (stdev),first_depletion,initial_fitness (mean),initial_fitness (stdev),nb_sleeping (mean),nb_sleeping (stdev),overlapping (mean),overlapping (stdev),scenario_name,term1_final (mean),term1_final (stdev),term1_initial (mean),term1_initial (stdev),term2_final (mean),term2_final (stdev),term2_initial (mean),term2_initial (stdev)
0,1526,,,,,891,,,,,,,LEACH,,,,,,,,
1,3447,0.852866935314,0.0456863033814,0.736505788545,0.0191412094709,3363,0.580971633034,0.0232239722303,0.371641623718,0.0772040796997,0.236004782748,0.0702996037371,FCM + ModifiedPso,0.717747622456,0.0497074511934,0.589691405593,0.0571399994741,0.755263955279,0.0449354975817,0.572251860595,0.056319155155
2,3105,0.873599798268,0.0402836428927,0.661980331016,0.0222057172268,3014,0.571268750167,0.0216199371231,0.318613132184,0.037043353379,0.353880821054,0.0602807546276,FCM + Pso,0.598905210402,0.0579443256508,0.600554888344,0.0658461435796,0.725055451836,0.0414273148915,0.541982611828,0.0627240980822
3,1456,,,,,407,,,,,,,DC,,,,,,,,
4,2346,,,,,1900,,,,,,,FCM,,,,,,,,
5,342,,,,,36,,,,,,,MTE,,,,,,,,
