,0.704343557358,0.709649562836,0.711377084255,0.727171778679,0.728899300098,0.733835160732,0.738770961761,0.741362273693,0.749012827873,0.75172752142,0.751974344254,0.752097725868,0.752740561962,0.754935860634,0.756486296654,0.758267521858,0.758390903473,0.758514285088,0.759254693985,0.76085883379,0.762833178043,0.763696968555,0.763817131519,0.767768979073,0.76850938797,0.769249737263,0.769619941711,0.770483732224,0.770853877068,0.771224081516,0.772211253643,0.772458016872,0.773815393448,0.773938775063,0.774802565575,0.776406705379,0.777023673058,0.777393877506,0.777764081955,0.779614984989,0.780355393887,0.782206296921,0.782946705818,0.783687055111,0.783810436726,0.784180641174,0.784427464008,0.785414636135,0.78553801775,0.786771953106,0.787882506847,0.788746297359,0.788869678974,0.789239883423,0.790103673935,0.790350437164,0.791090846062,0.791337609291,0.791460990906,0.792324781418,0.792818367481,0.793065130711,0.79318857193,0.793435335159,0.793928921223,0.795286297798,0.795533061028,0.79775416851,0.798617959023,0.799111545086,0.800098717213,0.800222098827,0.800592303276,0.800715684891,0.800839066505,0.801085889339,0.802443265915,0.802690029144,0.802813410759,0.803430378437,0.803677201271,0.803800582886,0.8039239645,0.80404740572,0.804170787334,0.804540991783,0.804664373398,0.805157959461,0.805404722691,0.806021690369,0.806145131588,0.806268513203,0.806391894817,0.806515276432,0.806638717651,0.806762099266,0.807255685329,0.807379066944,0.807625889778,0.807996034622,0.8086130023,0.808859825134,0.809106588364,0.809230029583,0.809600174427,0.81009376049,0.810195922852,0.810710787773,0.810743689537,0.811327755451,0.811451137066,0.812931895256,0.81370306015,0.813795685768,0.814536035061,0.81478279829,0.81490623951,0.815399825573,0.815523207188,0.815893411636,0.81626355648,0.816605865955,0.816880524158,0.817127346992,0.817250728607,0.817374110222,0.817497551441,0.818114519119,0.818608105183,0.819101691246,0.819225072861,0.819595277309,0.820088863373,0.820212244987,0.820335626602,0.820705831051,0.821199417114,0.821446180344,0.821569621563,0.821693003178,0.821939766407,0.822063207626,0.822556734085,0.822803556919,0.823297142982,0.823914110661,0.824037492275,0.824180424213,0.824284315109,0.824407696724,0.824531078339,0.824777901173,0.825024664402,0.825271487236,0.825394868851,0.825518250465,0.825888454914,0.826011836529,0.826382040977,0.82647383213,0.826505422592,0.826752245426,0.826875627041,0.826999008656,0.827369213104,0.827615976334,0.828479766846,0.82860314846,0.828849971294,0.828973352909,0.829096734524,0.829466938972,0.829713702202,0.829960525036,0.830330729485,0.830454111099,0.830700874329,0.830824255943,0.830947697163,0.831071078777,0.831194460392,0.831317842007,0.831441283226,0.831564664841,0.83181142807,0.832058250904,0.832305014133,0.832675218582,0.833045423031,0.83329218626,0.833662390709,0.833785772324,0.834155976772,0.834279358387,0.83477294445,0.834896326065,0.835019767284,0.835143148899,0.835636734962,0.835883498192,0.836130321026,0.836253702641,0.83650046587,0.836796998978,0.836870670319,0.836994051933,0.837117493153,0.837240874767,0.837611079216,0.837857842445,0.83798122406,0.838351428509,0.838598251343,0.838845014572,0.838968396187,0.839338600636,0.83946198225,0.839832186699,0.839955568314,0.840078949928,0.840202391148,0.840325772762,0.840449154377,0.841559708118,0.841929912567,0.842053294182,0.842176675797,0.842546880245,0.84267026186,0.842793703079,0.842917084694,0.843163847923,0.843534052372,0.843780875206,0.843904256821,0.844027638435,0.844207704067,0.844274461269,0.844521224499,0.844644606113,0.844767987728,0.844891428947,0.845014810562,0.845508396626,0.84563177824,0.845755159855,0.845878601074,0.846248745918,0.846495568752,0.846618950367,0.846742331982,0.846865773201,0.84711253643,0.84735929966,0.847606122494,0.848346471786,0.848469913006,0.849086880684,0.849210262299,0.849333643913,0.849457085133,0.849703848362,0.850074052811,0.85032081604,0.850691020489,0.850814402103,0.850937783718,0.851061224937,0.851307988167,0.851554811001,0.851678192616,0.851924955845,0.852048397064,0.852171778679,0.852295160294,0.852541983128,0.852665364742,0.852912127972,0.853035509586,0.853158950806,0.853405714035,0.853899300098,0.854022681713,0.854516267776,0.854639708996,0.854763090611,0.85500985384,0.855133295059,0.855256676674,0.855380058289,0.855503439903,0.855626821518,0.855750262737,0.855873644352,0.855997025967,0.856120407581,0.856243848801,0.856737434864,0.856860816479,0.857231020927,0.857477784157,0.857601165771,0.857724606991,0.858464956284,0.858711719513,0.858835160732,0.859081923962,0.859328746796,0.859822332859,0.860069096088,0.860192477703,0.860439300537,0.860686063766,0.860809504986,0.8609328866,0.861056268215,0.861303031445,0.861549854279,0.861673235893,0.861920058727,0.862043440342,0.862166821957,0.86266040802,0.862907230854,0.863277375698,0.863647580147,0.86414116621,0.864264547825,0.86438792944,0.864511370659,0.864634752274,0.864881515503,0.865004956722,0.865251719952,0.865375101566,0.865745306015,0.86586868763,0.865992128849,0.866115510464,0.866362273693,0.866609096527,0.866855859756,0.866979241371,0.867226064205,0.867472827435,0.867596268654,0.867843031883,0.868089854717,0.868336617947,0.868459999561,0.868583440781,0.868706822395,0.869077026844,0.869200408459,0.869323790073,0.869940757751,0.870187580585,0.870434343815,0.87055772543,0.870681166649,0.870804548264,0.871174752712,0.871298134327,0.871544897556,0.871668338776,0.87179172039,0.871915102005,0.87203848362,0.872161924839,0.872285306454,0.872408688068,0.872532069683,0.874012827873,0.874136209488,0.874259650707,0.874383032322,0.874506413937,0.874629795551,0.874753236771,0.875,0.875123381615,0.875246763229,0.875370204449,0.875616967678,0.875863790512,0.876357376575,0.87648075819,0.876604139805,0.87672752142,0.876850962639,0.877221107483,0.877344548702,0.877467930317,0.877591311932,0.877714693546,0.877838075161,0.878084897995,0.878455102444,0.878578484058,0.878701865673,0.878825247288,0.879072070122,0.87944227457,0.879565656185,0.879935860634,0.880059242249,0.880182623863,0.880306005478,0.880429446697,0.881046414375,0.88116979599,0.881416559219,0.881540000439,0.881663382053,0.882156968117,0.882280349731,0.882403731346,0.882527172565,0.883267521858,0.883390903473,0.883637726307,0.883761107922,0.883884489536,0.884007871151,0.88413131237,0.884254693985,0.884501457214,0.884748280048,0.884995043278,0.885365247726,0.885488629341,0.88561207056,0.885735452175,0.886105656624,0.886229038239,0.886352419853,0.886475801468,0.886599183083,0.886846005917,0.887092769146,0.887216210365,0.88733959198,0.887462973595,0.887709796429,0.887956559658,0.888079941273,0.888203382492,0.8890671134,0.889190495014,0.889313936234,0.889560699463,0.889684081078,0.890177667141,0.89030110836,0.89054787159,0.891288280487,0.891411662102,0.891535043716,0.891905248165,0.89202862978,0.892152011395,0.892768979073,0.892892420292,0.893015801907,0.893386006355,0.893492221832,0.89350938797,0.893632769585,0.894002974033,0.894126355648,0.894249737263,0.894373178482,0.89499014616,0.895236909389,0.895360291004,0.895483732224,0.895730495453,0.895853877068,0.895977318287,0.896347463131,0.896594285965,0.896964490414,0.897087872028,0.897334635258,0.897581458092,0.897704839706,0.897951602936,0.898445188999,0.899308979511,0.899432361126,0.89967918396,0.899802565575,0.899925947189,0.900172770023,0.900419533253,0.900913119316,0.90115994215,0.901530086994,0.901653528214,0.902147114277,0.902270495892,0.902393877506,0.90264070034,0.903010845184,0.903134226799,0.903381049633,0.903504431248,0.903751254082,0.904244840145,0.904491603374,0.904985189438,0.905232012272,0.905972361565,0.906095743179,0.906342566013,0.906465947628,0.906589329243,0.906712710857,0.907082915306,0.90732973814,0.907699882984,0.908070087433,0.908316910267,0.908810436726,0.908933877945,0.909180641174,0.909304022789,0.909674227238,0.910044431686,0.910167813301,0.910291194916,0.910414636135,0.910784780979,0.911031603813,0.911278367043,0.911525189877,0.911771953106,0.911895334721,0.912142157555,0.912635743618,0.913129329681,0.913252711296,0.91349953413,0.913622915745,0.913993060589,0.914116501808,0.914363265038,0.914733469486,0.914980232716,0.915350437164,0.915473818779,0.915720641613,0.916214227676,0.91670781374,0.916831195354,0.917077958584,0.917201399803,0.919175744057,0.919916093349,0.920039474964,0.920656442642,0.921150028706,0.921273469925,0.921520233154,0.921643614769,0.922013819218,0.922384023666,0.92287760973,0.923124372959,0.924234926701,0.924605131149,0.924728512764,0.925098717213,0.925468921661,0.925592303276,0.926085889339,0.926209270954,0.926826238632,0.927196443081,0.9289239645,0.92904740572,0.929170787334,0.930281341076,0.930404722691,0.93052816391,0.930651545525,0.930774927139,0.931021690369,0.931145131588,0.931268513203,0.931515276432,0.931762099266,0.933242857456,0.93509376049,0.935463964939,0.935834169388,0.935957551003,0.936574518681,0.936821341515,0.937191486359,0.937931895256,0.940769970417,0.941757142544,0.942250728607,0.942867696285,0.942991137505,0.943237900734,0.943361282349,0.943978309631,0.944225072861,0.94447183609,0.944965422153,0.945705831051,0.946446180344,0.94743335247,0.948050320148,0.949284315109,0.95064163208,0.951135218143,0.951752245426,0.952986180782,0.954590320587,0.957798600197,0.958662390709,0.959649562836,0.960143148899,0.961006939411,0.961747288704,0.96767026186,0.969767987728,0.975074052811,1.0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338709677419,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338709677419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354838709677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.370967741935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338709677419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258064516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322580645161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
