,coverage,nb_alive,nb_sleeping,overlapping
0,0.906322181225,71,10,0.208898872137
1,0.90246707201,71,10,0.430881619453
2,0.872529864311,71,13,0.0
3,0.831061184406,71,15,0.395374774933
4,0.851611793041,71,14,0.430881619453
5,0.881747603416,71,11,0.395374774933
6,0.824757277966,71,18,0.186475917697
7,0.86846446991,71,13,0.395374774933
8,0.777822375298,71,20,0.0
9,0.797883570194,71,20,0.186475917697
10,0.783709287643,71,21,0.186475917697
11,0.777822375298,71,22,0.0
12,0.821814894676,71,19,0.244405716658
13,0.816438496113,71,20,0.186475917697
14,0.828927159309,71,19,0.186475917697
15,0.875593841076,71,15,0.186475917697
16,0.710056900978,71,26,0.0
17,0.818797826767,71,20,0.0
18,0.828625977039,71,18,0.186475917697
19,0.787478983402,71,20,0.430881619453
20,0.728427171707,71,25,0.0
21,0.871965706348,71,17,0.186475917697
22,0.786239743233,71,21,0.186475917697
23,0.719261705875,71,25,0.186475917697
24,0.771799743176,71,19,0.546695411205
25,0.717093765736,71,22,0.546695411205
26,0.765067875385,71,21,0.186475917697
27,0.791607677937,71,19,0.546695411205
28,0.727823317051,71,22,0.0
29,0.794718503952,71,17,0.569118380547
30,0.78214097023,71,17,0.208898872137
31,0.777839064598,71,17,0.244405716658
32,0.774216294289,71,19,0.0
33,0.745201766491,71,20,0.208898872137
34,0.817421972752,71,17,0.0
35,0.864121556282,71,11,0.208898872137
36,0.819307625294,71,16,0.208898872137
37,0.758451640606,71,17,0.208898872137
38,0.775346636772,71,17,0.208898872137
39,0.73587012291,71,18,0.453304618597
40,0.737375080585,71,18,0.453304618597
41,0.758451640606,71,16,0.453304618597
42,0.762665987015,71,17,0.208898872137
43,0.718926072121,71,21,0.208898872137
44,0.861042678356,71,13,0.208898872137
45,0.754256725311,71,20,0.208898872137
46,0.803617715836,71,18,0.208898872137
47,0.831453740597,71,17,0.0
48,0.844885826111,71,16,0.186475917697
49,0.840602636337,71,16,0.186475917697
50,0.848903298378,71,16,0.186475917697
51,0.853101611137,71,17,0.186475917697
52,0.758740842342,71,23,0.186475917697
53,0.760159671307,71,22,0.0
54,0.853217303753,71,18,0.0
55,0.768911659718,71,22,0.186475917697
56,0.796792209148,71,22,0.186475917697
57,0.751088380814,71,23,0.395374774933
